ID,Species,Height (m),Location Zone,Leaf Type,Flower Color,Growth Habit,Drought Resistance,Watering Frequency,Ideal Climatic Zone
258,Betula pendula,27.99,Áreas rurales de Europa,Lobulada,Rosa,Arbustivo,Alta,2,Mediterráneo
259,Lilium candidum,23.02,Áreas templadas de Asia,Acicular,Sin flor visible,Trepador,Baja,0,Templado
260,Rosa canina,4.34,Bosques de Europa,Lanceolada,Blanca,Trepador,Media,4,Desértico
261,Lilium candidum,24.79,Selva Amazónica,Acicular,Amarilla,Arbóreo,Alta,2,Mediterráneo
262,Rosa canina,39.61,Áreas rurales de Europa,Palmeada,Roja,Rastrero,Media,4,Tropical
263,Populus alba,6.03,Altiplano Andino,Lobulada,Violeta,Trepador,Media,0,Tropical
264,Pinus sylvestris,20.97,Sabana Africana,Pinnada,Rosa,Trepador,Media,4,Templado
265,Salvia officinalis,35.16,Áreas rurales de Europa,Palmeada,Violeta,Rastrero,Baja,1,Desértico
266,Lilium candidum,29.76,Áreas rurales de Europa,Espinosa,Roja,Arbóreo,Alta,3,Mediterráneo
267,Eucalyptus globulus,28.03,Altiplano Andino,Acicular,Naranja,Rastrero,Baja,6,Mediterráneo
268,Betula pendula,28.25,Áreas templadas de Asia,Acicular,Naranja,Arbóreo,Alta,2,Tropical
269,Cactaceae echinopsis,14.7,Áreas rurales de Europa,Ovalada,Violeta,Arbustivo,Alta,5,Templado
270,Betula pendula,12.1,Selva Amazónica,Lobulada,Amarilla,Arbóreo,Baja,3,Tropical
271,Quercus robur,32.47,Bosques boreales,Espinosa,Blanca,Arbustivo,Media,6,Tropical
272,Salvia officinalis,32.5,Áreas templadas de Asia,Pinnada,Amarilla,Arbustivo,Media,4,Templado
273,Quercus robur,34.75,Selva Amazónica,Acicular,Violeta,Arbóreo,Alta,2,Desértico
274,Populus alba,36.57,Áreas templadas de Asia,Acicular,Amarilla,Herbáceo,Baja,4,Mediterráneo
275,Salvia officinalis,20.7,Selva Amazónica,Espinosa,Roja,Arbóreo,Media,1,Desértico
276,Salvia officinalis,20.31,Sabana Africana,Palmeada,Rosa,Trepador,Media,0,Boreal
277,Quercus robur,32.03,Selva Amazónica,Palmeada,Amarilla,Trepador,Alta,2,Boreal
278,Rosa canina,26.17,Desiertos de América Latina,Lobulada,Roja,Herbáceo,Alta,6,Boreal
279,Quercus robur,28.23,Selva Amazónica,Ovalada,Rosa,Arbustivo,Baja,6,Templado
280,Betula pendula,31.93,Bosques de Europa,Acicular,Naranja,Herbáceo,Alta,1,Tropical
281,Rosa canina,35.66,Bosques de Europa,Ovalada,Blanca,Trepador,Media,1,Desértico
282,Betula pendula,13.85,Zonas costeras del Mediterráneo,Palmeada,Violeta,Herbáceo,Media,2,Mediterráneo
283,Populus alba,15.34,Desiertos de América Latina,Palmeada,Naranja,Arbóreo,Media,4,Boreal
284,Cactaceae echinopsis,4.21,Desiertos de América Latina,Lanceolada,Blanca,Herbáceo,Media,5,Desértico
285,Ficus carica,23.34,Bosques boreales,Pinnada,Naranja,Arbustivo,Baja,6,Boreal
286,Rosa canina,1.92,Desiertos de América Latina,Lobulada,Sin flor visible,Arbóreo,Baja,6,Boreal
287,Populus alba,18.89,Bosques boreales,Lanceolada,Naranja,Rastrero,Alta,1,Mediterráneo
288,Eucalyptus globulus,21.93,Zonas costeras del Mediterráneo,Pinnada,Roja,Trepador,Alta,3,Templado
289,Populus alba,11.82,Zonas costeras del Mediterráneo,Lanceolada,Rosa,Trepador,Alta,1,Tropical
290,Quercus robur,23.84,Sabana Africana,Lanceolada,Naranja,Herbáceo,Baja,5,Templado
291,Quercus robur,1.7,Bosques de Europa,Lobulada,Amarilla,Arbóreo,Media,4,Desértico
292,Ficus carica,1.98,Selva Amazónica,Lobulada,Blanca,Rastrero,Alta,4,Templado
293,Populus alba,32.99,Selva Amazónica,Espinosa,Naranja,Arbóreo,Media,3,Desértico
294,Pinus sylvestris,14.73,Altiplano Andino,Ovalada,Rosa,Trepador,Alta,6,Desértico
295,Cactaceae echinopsis,5.52,Altiplano Andino,Ovalada,Roja,Arbóreo,Alta,1,Tropical
296,Quercus robur,21.13,Zonas montañosas,Espinosa,Sin flor visible,Rastrero,Alta,4,Mediterráneo
297,Ficus carica,30.91,Áreas templadas de Asia,Espinosa,Blanca,Herbáceo,Alta,5,Tropical
298,Cactaceae echinopsis,9.02,Sabana Africana,Palmeada,Violeta,Arbustivo,Alta,2,Templado
299,Populus alba,25.1,Zonas montañosas,Pinnada,Rosa,Arbóreo,Media,0,Desértico
300,Populus alba,3.87,Zonas montañosas,Lanceolada,Violeta,Arbustivo,Alta,0,Boreal
301,Salvia officinalis,2.54,Áreas rurales de Europa,Espinosa,Rosa,Trepador,Media,0,Boreal
302,Ficus carica,21.49,Áreas rurales de Europa,Acicular,Rosa,Herbáceo,Baja,6,Desértico
303,Quercus robur,21.86,Zonas montañosas,Ovalada,Roja,Herbáceo,Alta,1,Tropical
304,Pinus sylvestris,25.68,Desiertos de América Latina,Espinosa,Roja,Arbóreo,Media,3,Mediterráneo
305,Populus alba,29.18,Áreas templadas de Asia,Acicular,Roja,Herbáceo,Baja,4,Tropical
306,Pinus sylvestris,39.05,Sabana Africana,Acicular,Naranja,Arbóreo,Baja,2,Desértico
307,Populus alba,20.89,Zonas montañosas,Acicular,Amarilla,Arbóreo,Baja,5,Desértico
308,Quercus robur,13.26,Selva Amazónica,Palmeada,Rosa,Arbustivo,Media,2,Mediterráneo
309,Cactaceae echinopsis,31.91,Áreas templadas de Asia,Palmeada,Blanca,Herbáceo,Alta,5,Templado
310,Lilium candidum,11.2,Áreas rurales de Europa,Acicular,Violeta,Arbóreo,Alta,6,Templado
311,Cactaceae echinopsis,17.84,Selva Amazónica,Pinnada,Roja,Arbustivo,Media,1,Mediterráneo
312,Populus alba,3.6,Áreas rurales de Europa,Palmeada,Naranja,Rastrero,Alta,0,Templado
313,Betula pendula,1.5,Áreas rurales de Europa,Lanceolada,Roja,Arbustivo,Media,1,Boreal
314,Lilium candidum,38.52,Áreas templadas de Asia,Acicular,Violeta,Arbustivo,Alta,6,Templado
315,Lilium candidum,33.52,Áreas rurales de Europa,Lanceolada,Violeta,Arbóreo,Baja,3,Templado
316,Pinus sylvestris,27.99,Zonas costeras del Mediterráneo,Lanceolada,Rosa,Trepador,Alta,3,Templado
317,Ficus carica,16.65,Bosques de Europa,Acicular,Roja,Trepador,Media,6,Boreal
318,Pinus sylvestris,7.35,Zonas costeras del Mediterráneo,Ovalada,Violeta,Trepador,Media,5,Templado
319,Pinus sylvestris,6.68,Bosques de Europa,Pinnada,Amarilla,Arbustivo,Baja,4,Boreal
320,Betula pendula,10.38,Altiplano Andino,Acicular,Amarilla,Arbóreo,Media,4,Mediterráneo
321,Cactaceae echinopsis,22.19,Altiplano Andino,Acicular,Roja,Herbáceo,Alta,5,Tropical
322,Cactaceae echinopsis,28.73,Áreas rurales de Europa,Palmeada,Naranja,Arbustivo,Alta,3,Mediterráneo
323,Eucalyptus globulus,26.58,Sabana Africana,Acicular,Violeta,Arbustivo,Baja,3,Tropical
324,Populus alba,11.56,Sabana Africana,Ovalada,Rosa,Arbóreo,Media,3,Mediterráneo
325,Betula pendula,38.22,Bosques de Europa,Palmeada,Rosa,Rastrero,Baja,1,Tropical
326,Eucalyptus globulus,29.65,Selva Amazónica,Lobulada,Naranja,Arbustivo,Alta,3,Tropical
327,Quercus robur,22.4,Áreas templadas de Asia,Lobulada,Rosa,Rastrero,Baja,2,Desértico
328,Populus alba,24.66,Áreas rurales de Europa,Lanceolada,Sin flor visible,Rastrero,Media,0,Tropical
329,Populus alba,17.07,Áreas templadas de Asia,Pinnada,Roja,Trepador,Baja,3,Tropical
330,Salvia officinalis,10.29,Zonas costeras del Mediterráneo,Lanceolada,Rosa,Arbóreo,Media,5,Desértico
331,Salvia officinalis,14.56,Sabana Africana,Ovalada,Amarilla,Rastrero,Media,0,Templado
332,Rosa canina,30.43,Desiertos de América Latina,Espinosa,Violeta,Arbóreo,Alta,1,Templado
333,Rosa canina,1.07,Zonas costeras del Mediterráneo,Pinnada,Blanca,Trepador,Alta,5,Desértico
334,Pinus sylvestris,5.08,Zonas costeras del Mediterráneo,Lobulada,Naranja,Arbóreo,Alta,0,Boreal
335,Quercus robur,2.32,Bosques de Europa,Lanceolada,Blanca,Arbustivo,Media,5,Tropical
336,Lilium candidum,2.11,Bosques boreales,Lobulada,Rosa,Rastrero,Baja,1,Tropical
337,Lilium candidum,34.29,Zonas costeras del Mediterráneo,Ovalada,Blanca,Arbóreo,Media,2,Desértico
338,Salvia officinalis,28.29,Áreas rurales de Europa,Ovalada,Blanca,Herbáceo,Alta,1,Desértico
339,Salvia officinalis,19.23,Zonas montañosas,Espinosa,Sin flor visible,Arbóreo,Alta,1,Boreal
340,Salvia officinalis,4.36,Zonas montañosas,Espinosa,Amarilla,Rastrero,Baja,5,Templado
341,Betula pendula,19.92,Áreas rurales de Europa,Palmeada,Naranja,Trepador,Alta,6,Mediterráneo
342,Ficus carica,19.2,Bosques boreales,Pinnada,Amarilla,Trepador,Alta,4,Templado
343,Rosa canina,7.34,Bosques boreales,Ovalada,Sin flor visible,Rastrero,Alta,3,Tropical
344,Betula pendula,17.64,Bosques de Europa,Lanceolada,Sin flor visible,Arbustivo,Baja,3,Desértico
345,Cactaceae echinopsis,16.24,Sabana Africana,Lobulada,Blanca,Arbustivo,Media,2,Boreal
346,Lilium candidum,24.83,Áreas templadas de Asia,Acicular,Roja,Trepador,Alta,2,Templado
347,Populus alba,25.59,Bosques boreales,Espinosa,Violeta,Trepador,Baja,3,Boreal
348,Rosa canina,2.29,Desiertos de América Latina,Acicular,Violeta,Rastrero,Alta,4,Templado
349,Eucalyptus globulus,15.3,Bosques de Europa,Lanceolada,Blanca,Arbustivo,Baja,3,Tropical
350,Cactaceae echinopsis,25.22,Altiplano Andino,Espinosa,Violeta,Trepador,Alta,6,Mediterráneo
351,Rosa canina,20.37,Selva Amazónica,Acicular,Sin flor visible,Arbustivo,Baja,4,Boreal
352,Betula pendula,34.33,Altiplano Andino,Pinnada,Amarilla,Trepador,Alta,2,Boreal
353,Quercus robur,26.52,Bosques de Europa,Lanceolada,Violeta,Arbóreo,Media,0,Mediterráneo
354,Populus alba,6.94,Zonas costeras del Mediterráneo,Lobulada,Naranja,Herbáceo,Alta,5,Boreal
355,Rosa canina,3.29,Áreas templadas de Asia,Pinnada,Blanca,Arbóreo,Baja,6,Boreal
356,Ficus carica,25.88,Selva Amazónica,Lanceolada,Roja,Trepador,Alta,6,Templado
357,Salvia officinalis,1.55,Altiplano Andino,Palmeada,Blanca,Herbáceo,Media,2,Templado
358,Salvia officinalis,23.64,Selva Amazónica,Espinosa,Rosa,Herbáceo,Alta,2,Mediterráneo
359,Populus alba,37.64,Desiertos de América Latina,Ovalada,Blanca,Trepador,Baja,1,Tropical
360,Betula pendula,23.23,Desiertos de América Latina,Lobulada,Sin flor visible,Trepador,Baja,6,Boreal
361,Salvia officinalis,15.83,Desiertos de América Latina,Pinnada,Amarilla,Arbustivo,Media,1,Tropical
362,Rosa canina,25.91,Bosques de Europa,Pinnada,Amarilla,Trepador,Baja,1,Mediterráneo
363,Eucalyptus globulus,18.6,Áreas templadas de Asia,Acicular,Naranja,Rastrero,Alta,5,Mediterráneo
364,Lilium candidum,22.05,Bosques de Europa,Espinosa,Violeta,Trepador,Alta,1,Templado
365,Lilium candidum,37.69,Zonas montañosas,Ovalada,Sin flor visible,Rastrero,Alta,4,Boreal
366,Cactaceae echinopsis,15.75,Zonas costeras del Mediterráneo,Lanceolada,Rosa,Trepador,Baja,3,Desértico
367,Pinus sylvestris,38.47,Zonas costeras del Mediterráneo,Ovalada,Sin flor visible,Arbustivo,Alta,0,Mediterráneo
368,Quercus robur,36.26,Desiertos de América Latina,Espinosa,Blanca,Rastrero,Alta,2,Boreal
369,Populus alba,8.23,Zonas montañosas,Espinosa,Sin flor visible,Arbóreo,Alta,4,Tropical
370,Cactaceae echinopsis,3.24,Bosques boreales,Palmeada,Sin flor visible,Rastrero,Media,0,Templado
371,Pinus sylvestris,4.48,Bosques boreales,Palmeada,Naranja,Arbustivo,Baja,6,Tropical
372,Betula pendula,1.22,Desiertos de América Latina,Ovalada,Rosa,Rastrero,Baja,6,Mediterráneo
373,Ficus carica,4.23,Altiplano Andino,Lanceolada,Blanca,Trepador,Baja,6,Mediterráneo
374,Ficus carica,27.48,Bosques de Europa,Ovalada,Roja,Trepador,Media,4,Tropical
375,Quercus robur,3.31,Desiertos de América Latina,Espinosa,Naranja,Arbustivo,Baja,4,Mediterráneo
376,Salvia officinalis,13.1,Sabana Africana,Espinosa,Roja,Herbáceo,Media,2,Boreal
377,Rosa canina,33.87,Selva Amazónica,Acicular,Naranja,Trepador,Media,3,Mediterráneo
378,Cactaceae echinopsis,1.42,Zonas costeras del Mediterráneo,Palmeada,Amarilla,Arbóreo,Baja,1,Templado
379,Cactaceae echinopsis,32.67,Bosques boreales,Acicular,Naranja,Arbustivo,Alta,6,Boreal
380,Populus alba,11.63,Áreas rurales de Europa,Lobulada,Violeta,Rastrero,Alta,5,Desértico
381,Populus alba,5.17,Bosques boreales,Espinosa,Sin flor visible,Rastrero,Baja,3,Mediterráneo
382,Ficus carica,28.02,Zonas costeras del Mediterráneo,Acicular,Amarilla,Arbóreo,Baja,5,Mediterráneo
383,Ficus carica,25.34,Selva Amazónica,Ovalada,Rosa,Trepador,Media,2,Templado
384,Eucalyptus globulus,35.16,Zonas costeras del Mediterráneo,Palmeada,Roja,Arbustivo,Baja,2,Templado
385,Eucalyptus globulus,29.54,Áreas rurales de Europa,Palmeada,Naranja,Arbóreo,Media,2,Tropical
386,Salvia officinalis,32.24,Desiertos de América Latina,Lanceolada,Sin flor visible,Trepador,Baja,0,Tropical
387,Eucalyptus globulus,11.64,Zonas montañosas,Ovalada,Rosa,Arbustivo,Alta,5,Tropical
388,Rosa canina,7.51,Áreas rurales de Europa,Lanceolada,Violeta,Rastrero,Alta,3,Templado
389,Rosa canina,30.15,Zonas costeras del Mediterráneo,Acicular,Rosa,Arbustivo,Baja,3,Tropical
390,Cactaceae echinopsis,32.37,Zonas costeras del Mediterráneo,Pinnada,Sin flor visible,Herbáceo,Media,4,Tropical
391,Lilium candidum,39.62,Sabana Africana,Lobulada,Violeta,Arbustivo,Alta,4,Desértico
392,Rosa canina,16.8,Sabana Africana,Ovalada,Rosa,Herbáceo,Media,6,Tropical
393,Pinus sylvestris,15.19,Áreas templadas de Asia,Ovalada,Violeta,Arbustivo,Baja,4,Mediterráneo
394,Ficus carica,31.17,Sabana Africana,Ovalada,Naranja,Herbáceo,Baja,2,Templado
395,Populus alba,13.96,Bosques de Europa,Lanceolada,Naranja,Rastrero,Alta,3,Boreal
396,Eucalyptus globulus,37.26,Zonas montañosas,Acicular,Sin flor visible,Trepador,Baja,5,Desértico
397,Cactaceae echinopsis,34.41,Selva Amazónica,Ovalada,Sin flor visible,Herbáceo,Alta,2,Templado
398,Quercus robur,17.45,Áreas rurales de Europa,Pinnada,Violeta,Herbáceo,Media,0,Templado
399,Populus alba,30.16,Zonas costeras del Mediterráneo,Ovalada,Blanca,Rastrero,Alta,4,Mediterráneo
400,Pinus sylvestris,30.3,Áreas templadas de Asia,Palmeada,Amarilla,Herbáceo,Alta,2,Tropical
401,Eucalyptus globulus,4.57,Áreas templadas de Asia,Lobulada,Rosa,Arbóreo,Media,2,Mediterráneo
402,Pinus sylvestris,36.15,Selva Amazónica,Palmeada,Rosa,Rastrero,Alta,0,Tropical
403,Ficus carica,20.46,Zonas montañosas,Palmeada,Blanca,Arbóreo,Alta,1,Tropical
404,Ficus carica,33.15,Áreas rurales de Europa,Lobulada,Blanca,Rastrero,Baja,3,Templado
405,Salvia officinalis,13.14,Bosques boreales,Pinnada,Blanca,Herbáceo,Media,5,Tropical
406,Cactaceae echinopsis,35.87,Sabana Africana,Acicular,Roja,Arbóreo,Alta,6,Desértico
407,Populus alba,15.87,Desiertos de América Latina,Palmeada,Roja,Herbáceo,Media,1,Desértico
408,Betula pendula,0.93,Áreas templadas de Asia,Acicular,Violeta,Rastrero,Media,4,Desértico
409,Betula pendula,36.26,Sabana Africana,Palmeada,Roja,Herbáceo,Alta,2,Templado
410,Populus alba,4.11,Sabana Africana,Espinosa,Naranja,Arbóreo,Baja,0,Mediterráneo
411,Quercus robur,13.11,Bosques de Europa,Lobulada,Naranja,Arbóreo,Media,0,Boreal
412,Cactaceae echinopsis,38.03,Zonas montañosas,Palmeada,Sin flor visible,Herbáceo,Alta,3,Tropical
413,Pinus sylvestris,38.05,Desiertos de América Latina,Espinosa,Violeta,Arbustivo,Media,1,Boreal
414,Quercus robur,23.15,Bosques boreales,Lanceolada,Rosa,Rastrero,Baja,6,Mediterráneo
415,Lilium candidum,25.46,Zonas costeras del Mediterráneo,Espinosa,Amarilla,Rastrero,Baja,3,Mediterráneo
416,Populus alba,18.21,Bosques de Europa,Ovalada,Sin flor visible,Herbáceo,Baja,2,Templado
417,Pinus sylvestris,12.08,Sabana Africana,Palmeada,Rosa,Arbustivo,Alta,3,Desértico
418,Betula pendula,13.48,Sabana Africana,Espinosa,Rosa,Arbóreo,Alta,5,Desértico
419,Rosa canina,27.06,Altiplano Andino,Acicular,Violeta,Trepador,Baja,0,Mediterráneo
420,Salvia officinalis,30.22,Desiertos de América Latina,Lanceolada,Blanca,Trepador,Alta,0,Templado
421,Betula pendula,31.77,Desiertos de América Latina,Pinnada,Blanca,Herbáceo,Baja,4,Templado
422,Cactaceae echinopsis,31.69,Altiplano Andino,Palmeada,Sin flor visible,Arbustivo,Alta,4,Tropical
423,Ficus carica,4.1,Desiertos de América Latina,Ovalada,Blanca,Arbustivo,Baja,6,Desértico
424,Rosa canina,20.03,Sabana Africana,Pinnada,Rosa,Rastrero,Media,2,Mediterráneo
425,Salvia officinalis,2.77,Áreas templadas de Asia,Espinosa,Blanca,Arbóreo,Baja,5,Boreal
426,Salvia officinalis,22.21,Áreas rurales de Europa,Pinnada,Roja,Arbustivo,Baja,1,Desértico
427,Lilium candidum,17.94,Sabana Africana,Pinnada,Blanca,Trepador,Alta,3,Tropical
428,Lilium candidum,35.56,Bosques de Europa,Lanceolada,Rosa,Arbóreo,Alta,6,Templado
429,Eucalyptus globulus,14.36,Zonas montañosas,Pinnada,Violeta,Arbóreo,Alta,2,Mediterráneo
430,Betula pendula,5.12,Altiplano Andino,Pinnada,Sin flor visible,Herbáceo,Alta,4,Desértico
431,Betula pendula,6.15,Bosques boreales,Palmeada,Amarilla,Arbustivo,Alta,3,Boreal
432,Betula pendula,30.58,Zonas costeras del Mediterráneo,Lanceolada,Blanca,Herbáceo,Alta,4,Tropical
433,Eucalyptus globulus,24.92,Bosques boreales,Ovalada,Naranja,Arbustivo,Media,3,Tropical
434,Quercus robur,4.49,Sabana Africana,Espinosa,Naranja,Rastrero,Baja,1,Desértico
435,Salvia officinalis,3.82,Bosques de Europa,Lanceolada,Rosa,Herbáceo,Baja,2,Boreal
436,Rosa canina,28.19,Sabana Africana,Lanceolada,Amarilla,Herbáceo,Baja,3,Tropical
437,Cactaceae echinopsis,3.37,Zonas montañosas,Lobulada,Amarilla,Trepador,Media,5,Mediterráneo
438,Salvia officinalis,32.96,Áreas templadas de Asia,Lanceolada,Roja,Herbáceo,Baja,6,Tropical
439,Lilium candidum,28.4,Zonas costeras del Mediterráneo,Lobulada,Amarilla,Arbustivo,Media,0,Boreal
440,Pinus sylvestris,3.71,Zonas montañosas,Espinosa,Naranja,Trepador,Media,5,Templado
441,Ficus carica,3.85,Altiplano Andino,Pinnada,Violeta,Herbáceo,Media,5,Templado
442,Eucalyptus globulus,39.47,Altiplano Andino,Palmeada,Rosa,Herbáceo,Baja,6,Desértico
443,Populus alba,15.28,Sabana Africana,Palmeada,Rosa,Rastrero,Media,0,Boreal
444,Pinus sylvestris,15.14,Bosques de Europa,Espinosa,Blanca,Herbáceo,Baja,5,Tropical
445,Cactaceae echinopsis,32.61,Zonas montañosas,Espinosa,Blanca,Arbóreo,Baja,3,Tropical
446,Betula pendula,37.92,Selva Amazónica,Acicular,Blanca,Trepador,Alta,3,Templado
447,Lilium candidum,39.45,Bosques de Europa,Pinnada,Naranja,Arbóreo,Alta,3,Templado
448,Lilium candidum,30.26,Áreas templadas de Asia,Espinosa,Naranja,Trepador,Media,0,Mediterráneo
449,Lilium candidum,15.36,Altiplano Andino,Lanceolada,Naranja,Rastrero,Media,5,Templado
450,Betula pendula,3.8,Sabana Africana,Palmeada,Naranja,Herbáceo,Baja,0,Mediterráneo
451,Populus alba,31.2,Desiertos de América Latina,Ovalada,Naranja,Herbáceo,Media,3,Tropical
452,Eucalyptus globulus,22.56,Altiplano Andino,Palmeada,Naranja,Herbáceo,Media,6,Mediterráneo
453,Pinus sylvestris,17.26,Zonas costeras del Mediterráneo,Lobulada,Violeta,Trepador,Baja,5,Mediterráneo
454,Betula pendula,36.3,Áreas rurales de Europa,Palmeada,Naranja,Herbáceo,Media,5,Desértico
455,Cactaceae echinopsis,4.89,Desiertos de América Latina,Acicular,Amarilla,Arbóreo,Media,4,Templado
456,Eucalyptus globulus,19.96,Sabana Africana,Pinnada,Amarilla,Herbáceo,Baja,4,Mediterráneo
457,Cactaceae echinopsis,0.95,Selva Amazónica,Espinosa,Roja,Rastrero,Baja,1,Tropical
458,Eucalyptus globulus,19.01,Desiertos de América Latina,Pinnada,Violeta,Arbóreo,Alta,2,Boreal
459,Populus alba,2.72,Zonas costeras del Mediterráneo,Espinosa,Blanca,Herbáceo,Baja,4,Mediterráneo
460,Ficus carica,5.19,Bosques de Europa,Palmeada,Sin flor visible,Herbáceo,Alta,0,Templado
461,Cactaceae echinopsis,5.14,Selva Amazónica,Ovalada,Naranja,Arbustivo,Media,4,Desértico
462,Betula pendula,26.14,Altiplano Andino,Ovalada,Roja,Trepador,Baja,1,Tropical
463,Eucalyptus globulus,29.97,Selva Amazónica,Acicular,Sin flor visible,Arbóreo,Baja,5,Desértico
464,Lilium candidum,23.54,Zonas montañosas,Lobulada,Amarilla,Arbustivo,Baja,1,Boreal
465,Salvia officinalis,38.51,Zonas costeras del Mediterráneo,Palmeada,Roja,Rastrero,Media,5,Mediterráneo
466,Lilium candidum,15.31,Desiertos de América Latina,Espinosa,Roja,Trepador,Alta,6,Mediterráneo
467,Quercus robur,11.79,Zonas montañosas,Palmeada,Rosa,Arbóreo,Media,6,Templado
468,Ficus carica,34.81,Selva Amazónica,Acicular,Amarilla,Herbáceo,Media,5,Mediterráneo
469,Ficus carica,9.33,Zonas montañosas,Lanceolada,Amarilla,Arbóreo,Baja,2,Tropical
470,Lilium candidum,38.55,Bosques boreales,Lanceolada,Violeta,Herbáceo,Alta,4,Boreal
471,Pinus sylvestris,0.98,Zonas costeras del Mediterráneo,Acicular,Roja,Trepador,Media,0,Desértico
472,Populus alba,38.81,Áreas templadas de Asia,Espinosa,Naranja,Herbáceo,Baja,0,Boreal
473,Cactaceae echinopsis,2.2,Bosques de Europa,Pinnada,Amarilla,Rastrero,Media,3,Mediterráneo
474,Betula pendula,35.7,Selva Amazónica,Acicular,Roja,Herbáceo,Media,5,Desértico
475,Ficus carica,21.34,Zonas costeras del Mediterráneo,Espinosa,Violeta,Rastrero,Baja,0,Templado
476,Lilium candidum,39.72,Áreas templadas de Asia,Ovalada,Naranja,Trepador,Baja,2,Boreal
477,Lilium candidum,3.41,Áreas templadas de Asia,Acicular,Violeta,Trepador,Alta,5,Desértico
478,Populus alba,22.38,Sabana Africana,Espinosa,Rosa,Arbóreo,Media,2,Desértico
479,Populus alba,38.79,Zonas montañosas,Acicular,Naranja,Rastrero,Baja,0,Desértico
480,Rosa canina,21.16,Áreas templadas de Asia,Acicular,Roja,Rastrero,Baja,0,Tropical
481,Rosa canina,25.36,Bosques boreales,Pinnada,Amarilla,Arbustivo,Alta,3,Boreal
482,Pinus sylvestris,27.98,Zonas costeras del Mediterráneo,Pinnada,Amarilla,Arbustivo,Alta,0,Desértico
483,Pinus sylvestris,18.45,Áreas rurales de Europa,Espinosa,Roja,Arbustivo,Baja,5,Boreal
484,Quercus robur,25.29,Áreas rurales de Europa,Espinosa,Roja,Herbáceo,Alta,6,Desértico
485,Pinus sylvestris,23.58,Selva Amazónica,Lobulada,Roja,Arbustivo,Baja,5,Templado
486,Eucalyptus globulus,36.1,Altiplano Andino,Acicular,Blanca,Rastrero,Media,5,Templado
487,Populus alba,2.3,Zonas montañosas,Lanceolada,Naranja,Herbáceo,Alta,3,Templado
488,Betula pendula,11.6,Altiplano Andino,Acicular,Amarilla,Trepador,Media,3,Mediterráneo
489,Eucalyptus globulus,38.04,Áreas templadas de Asia,Acicular,Naranja,Arbóreo,Media,0,Desértico
490,Cactaceae echinopsis,35.67,Zonas costeras del Mediterráneo,Espinosa,Violeta,Arbustivo,Media,1,Mediterráneo
491,Lilium candidum,18.5,Selva Amazónica,Acicular,Amarilla,Trepador,Baja,1,Boreal
492,Pinus sylvestris,25.0,Desiertos de América Latina,Palmeada,Blanca,Rastrero,Media,3,Mediterráneo
493,Lilium candidum,11.46,Áreas templadas de Asia,Acicular,Roja,Arbóreo,Media,0,Boreal
494,Ficus carica,7.93,Zonas montañosas,Palmeada,Rosa,Trepador,Media,1,Boreal
495,Quercus robur,18.82,Áreas rurales de Europa,Pinnada,Roja,Arbóreo,Baja,0,Boreal
496,Ficus carica,14.46,Sabana Africana,Lanceolada,Roja,Arbustivo,Media,0,Mediterráneo
497,Quercus robur,23.55,Zonas costeras del Mediterráneo,Espinosa,Blanca,Rastrero,Media,0,Desértico
498,Rosa canina,3.57,Bosques de Europa,Acicular,Naranja,Arbóreo,Alta,4,Mediterráneo
499,Lilium candidum,38.99,Altiplano Andino,Palmeada,Amarilla,Trepador,Baja,5,Desértico
500,Quercus robur,39.46,Selva Amazónica,Palmeada,Roja,Arbustivo,Media,0,Desértico
501,Salvia officinalis,28.08,Altiplano Andino,Pinnada,Amarilla,Arbustivo,Alta,4,Boreal
502,Eucalyptus globulus,21.68,Zonas costeras del Mediterráneo,Palmeada,Sin flor visible,Trepador,Baja,3,Mediterráneo
503,Quercus robur,12.73,Altiplano Andino,Ovalada,Violeta,Trepador,Baja,1,Desértico
504,Quercus robur,32.64,Zonas costeras del Mediterráneo,Lobulada,Naranja,Arbóreo,Baja,5,Templado
505,Eucalyptus globulus,27.55,Altiplano Andino,Lanceolada,Amarilla,Herbáceo,Baja,6,Desértico
506,Lilium candidum,6.92,Bosques boreales,Pinnada,Rosa,Arbustivo,Baja,1,Templado
507,Lilium candidum,36.48,Desiertos de América Latina,Pinnada,Violeta,Arbóreo,Baja,5,Mediterráneo
508,Eucalyptus globulus,32.99,Áreas templadas de Asia,Acicular,Rosa,Trepador,Media,6,Mediterráneo
509,Ficus carica,38.02,Áreas templadas de Asia,Ovalada,Roja,Arbóreo,Media,1,Mediterráneo
510,Salvia officinalis,29.17,Zonas montañosas,Acicular,Violeta,Trepador,Media,5,Desértico
511,Betula pendula,24.73,Bosques de Europa,Acicular,Amarilla,Rastrero,Media,1,Tropical
512,Cactaceae echinopsis,17.02,Bosques de Europa,Espinosa,Violeta,Trepador,Alta,1,Desértico
513,Salvia officinalis,37.34,Zonas montañosas,Espinosa,Roja,Trepador,Media,6,Desértico
514,Lilium candidum,34.71,Sabana Africana,Espinosa,Blanca,Trepador,Baja,1,Boreal
515,Betula pendula,2.29,Áreas templadas de Asia,Ovalada,Naranja,Herbáceo,Media,1,Boreal
516,Rosa canina,1.54,Sabana Africana,Acicular,Rosa,Trepador,Media,6,Desértico
517,Pinus sylvestris,15.37,Zonas costeras del Mediterráneo,Lobulada,Roja,Arbustivo,Baja,3,Templado
